,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
188,30min/TOEFLライティングQuestion2,院留学,472,1800.0,2019-05-09T17:37:47+09:00,2019-05-09T17:45:39+09:00,#04bb9b
189,5min/ネットでTOEFLのライティングどのようにやっているか調べる,院留学,112,300.0,2019-05-09T17:35:35+09:00,2019-05-09T17:37:27+09:00,#04bb9b
190,15min/TOEFLライティングQuestion2,院留学,34,900.0,2019-05-09T17:34:44+09:00,2019-05-09T17:35:18+09:00,#04bb9b
191,15min/TOEFLライティングの形式を知る,院留学,1002,900.0,2019-05-09T17:18:00+09:00,2019-05-09T17:34:42+09:00,#04bb9b
192,ゲームする,休憩,636,,2019-05-09T17:06:55+09:00,2019-05-09T17:17:31+09:00,#fb8b14
193,10min/Togglデータのデータ分析,振り返り,512,600.0,2019-05-09T16:58:23+09:00,2019-05-09T17:06:55+09:00,#ea468d
194,30min/バナー作るなら作る,デザイン,464,1800.0,2019-05-09T16:50:02+09:00,2019-05-09T16:57:46+09:00,#e20505
195,45min/越塚研究室について調べて質問項目を考える,大学課題,886,2700.0,2019-05-09T10:16:12+09:00,2019-05-09T10:30:58+09:00,#06aaf5
196,90min/情報工学3,大学課題,4036,5400.0,2019-05-09T08:10:09+09:00,2019-05-09T09:17:25+09:00,#06aaf5
197,90min/justice league,院留学,3637,5400.0,2019-05-09T07:09:23+09:00,2019-05-09T08:10:00+09:00,#04bb9b
198,90min/Togglデータのデータ分析,エンジニアリング,3452,5400.0,2019-05-08T20:53:58+09:00,2019-05-08T21:51:30+09:00,#3750b5
199,90min/Togglデータのデータ分析,エンジニアリング,410,5400.0,2019-05-08T20:42:02+09:00,2019-05-08T20:48:52+09:00,#3750b5
200,90min/プログラミング演習課題,大学課題,1240,5400.0,2019-05-08T20:11:08+09:00,2019-05-08T20:31:48+09:00,#06aaf5
201,ゲームする,休憩,1315,,2019-05-08T19:49:12+09:00,2019-05-08T20:11:07+09:00,#fb8b14
